Date,MinTemp,MaxTemp,Rainfall
2016-08-27,0.7,13.5,0.2
2016-08-28,2.1,16.9,0
2016-08-29,3.4,18.2,0
2016-08-30,7.8,15.3,0
2016-08-31,10.6,18.4,22
2016-09-01,8.5,16.7,0.4
2016-09-02,6.1,13.9,0.2
2016-09-03,9.6,16.6,33.6
2016-09-04,7.7,15.1,0.6
2016-09-05,4.4,15.9,0
2016-09-06,4.4,18.1,0
2016-09-07,5.5,20.5,0
2016-09-08,8.1,20.3,0
2016-09-09,12.6,17.8,4
2016-09-10,11.2,17.7,17
2016-09-11,3.7,14.9,0.2
2016-09-12,5.1,17.8,0
2016-09-13,6.9,19.7,0
2016-09-14,12.4,16.2,8.6
2016-09-15,8.3,13.6,10.8
2016-09-16,9.4,16.1,0.4
2016-09-17,4.4,18.2,0.6
2016-09-18,7.1,13.8,1.2
2016-09-19,7.4,15.9,7.4
2016-09-20,5.3,14.9,0
2016-09-21,9.8,16.2,12.8
2016-09-22,9.3,18.8,0
2016-09-23,4.9,20.5,0
2016-09-24,8.3,20.5,0
2016-09-25,11,17.5,3
2016-09-26,4.8,15.9,0
2016-09-27,7.1,15.2,2.8
2016-09-28,5.3,17.9,1.8
2016-09-29,11.1,14.8,20.6
2016-09-30,8.4,13.7,16.2
2016-10-01,9.2,14.9,9
2016-10-02,5.9,21.7,0.8
2016-10-03,10.8,15.1,12.4
2016-10-04,8.3,15,8.6
2016-10-05,3.5,15.7,7.8
2016-10-06,7,21.6,0
2016-10-07,9,23.8,0
2016-10-08,11.8,22.1,0
2016-10-09,8.3,20.9,0
2016-10-10,9.6,14.8,6.6
2016-10-11,5.7,14.8,0.6
2016-10-12,5.3,16.7,0.2
2016-10-13,6.9,18.5,0.2
2016-10-14,4.2,20.7,0
2016-10-15,5.7,22.4,0
2016-10-16,11.8,24.9,0
2016-10-17,9.7,17.6,9.6
2016-10-18,10.1,16.4,0.8
2016-10-19,4.7,16.2,2.6
2016-10-20,3.6,19.4,0.2
2016-10-21,7.4,23.7,0
2016-10-22,6.4,16.2,1
2016-10-23,3.3,17.6,0
2016-10-24,3.6,19,0
2016-10-25,5.3,22.9,0
2016-10-26,12.7,24.6,0
2016-10-27,8.2,22.2,0
2016-10-28,7.5,23.3,0
2016-10-29,9.3,25.7,0
2016-10-30,14.7,24.3,0
2016-10-31,5.1,17,1
2016-11-01,7.1,18.6,0
2016-11-02,7.6,19.7,0
2016-11-03,6.9,23,0
2016-11-04,7.6,28.2,0
2016-11-05,9.6,18.4,0
2016-11-06,7.9,20.9,0
2016-11-07,8.8,29.4,0
2016-11-08,11.6,24.9,0
2016-11-09,9.7,25.9,0
2016-11-10,9.9,24.4,0
2016-11-11,7.7,26.9,0
2016-11-12,14.1,27.1,8
2016-11-13,11.7,16,1.8
2016-11-14,11.3,20.9,18.8
2016-11-15,6.9,22.9,0.8
2016-11-16,8.9,26.3,0
2016-11-17,11,29.3,0
2016-11-18,14,29.9,0
2016-11-19,14.8,31.5,0
2016-11-20,14.6,32,0
2016-11-21,19.2,36.2,0.8
2016-11-22,21.6,26.6,0
2016-11-23,14.3,21.6,19.2
2016-11-24,5.9,21.6,0.2
2016-11-25,8.2,22,0
2016-11-26,7.3,24.5,0
2016-11-27,9.3,28.1,0
2016-11-28,11.4,29.2,0
2016-11-29,10.8,29.4,0
2016-11-30,12.9,32.2,0
2016-12-01,13.7,30.2,0
2016-12-02,12.8,30.8,0
2016-12-03,13.8,31.2,0
2016-12-04,12.8,32.8,0
2016-12-05,19.3,32.8,0
2016-12-06,19.8,26.1,0
2016-12-07,10,29.6,0
2016-12-08,11.5,29.7,0
2016-12-09,9.9,21,1
2016-12-10,7.5,26.9,0
2016-12-11,10.7,29.8,0
2016-12-12,11.7,33,0
2016-12-13,13.4,37.2,0
2016-12-14,20.4,26.9,0.4
2016-12-15,13.8,29.8,0
2016-12-16,16,22.7,5.2
2016-12-17,17.3,28.5,0
2016-12-18,9,26.3,0
2016-12-19,10.3,29.5,0
2016-12-20,13.1,29.6,0
2016-12-21,9.7,28.3,1.2
2016-12-22,14.1,31.4,0
2016-12-23,15.4,35.3,0
2016-12-24,17.5,34,0
2016-12-25,15.9,35.6,1.6
2016-12-26,17.6,36.5,0
2016-12-27,20.9,31.5,2
2016-12-28,21.9,35.6,0
2016-12-29,22,27.7,3.8
2016-12-30,22.8,32.1,3.2
2016-12-31,15.9,33.1,4.4
2017-01-01,15.5,31.6,0
2017-01-02,14.9,32,0
2017-01-03,13.7,32,0
2017-01-04,16.2,33,0
2017-01-05,18,33.5,0
2017-01-06,17.1,35.4,0
2017-01-07,17.9,35.4,0
2017-01-08,19.1,36,0
2017-01-09,21.3,30.7,0
2017-01-10,19.8,31,10.6
2017-01-11,20.1,34.2,0
2017-01-12,14.5,35,0
2017-01-13,16.7,32,0
2017-01-14,16.9,25.4,14.2
2017-01-15,11.5,31.6,0
2017-01-16,13.3,34.8,0
2017-01-17,16,40.9,0
2017-01-18,16.7,30.4,0
2017-01-19,14.9,33.3,0
2017-01-20,18.6,28.1,18
2017-01-21,11.4,30.1,2.6
2017-01-22,14.6,32.9,0
2017-01-23,19.2,39.3,0
2017-01-24,23.2,32.6,0
2017-01-25,16.3,32.4,0
2017-01-26,15.8,34.2,0
2017-01-27,17.4,35.9,0
2017-01-28,17.5,36.9,0
2017-01-29,16.8,38.5,0
2017-01-30,16.4,42.5,0
2017-01-31,23.5,32.1,0
2017-02-01,15.7,27.8,0
2017-02-02,11.9,28.1,0
2017-02-03,12,33.6,0
2017-02-04,14.5,34.3,0
2017-02-05,18.9,32.6,0
2017-02-06,20.9,23.8,3.4
2017-02-07,18.9,33.1,5.2
2017-02-08,20,35.8,0
2017-02-09,20.5,40.3,0
2017-02-10,23,43.7,0
2017-02-11,23.9,40.7,0
2017-02-12,20,21.2,1.4
2017-02-13,10,25.6,1
2017-02-14,11.5,28.6,0
2017-02-15,11.9,32.9,0
2017-02-16,13.4,37.8,0
2017-02-17,17.5,32,0
2017-02-18,13.9,25.1,1
2017-02-19,7.6,22.4,0
2017-02-20,7.5,22.1,NA
2017-02-21,8.4,27.1,0
2017-02-22,10.6,34.7,0
2017-02-23,14.5,35.9,0
2017-02-24,15.1,33.6,0
2017-02-25,15.4,30.3,0
2017-02-26,14.7,30.9,0
2017-02-27,14.1,32.2,0
2017-02-28,15.3,33.6,0
2017-03-01,16.7,34.3,0
2017-03-02,17.7,34.5,0
2017-03-03,18.5,32.1,0
2017-03-04,18.9,31.2,0
2017-03-05,19.2,32.4,0
2017-03-06,15.4,29.9,0
2017-03-07,16.8,29.9,0
2017-03-08,12.4,29.5,0
2017-03-09,11.9,30.3,0
2017-03-10,11,32.7,0
2017-03-11,14.3,32.5,0
2017-03-12,18.6,36,0
2017-03-13,16,30.9,NA
2017-03-14,15.4,33.9,0
2017-03-15,16.7,33.8,0
2017-03-16,20.9,31.5,0
2017-03-17,19.3,31.2,0
2017-03-18,13.6,32.6,0
2017-03-19,15.3,34.9,0
2017-03-20,20,33.1,0
2017-03-21,20.1,25.2,NA
2017-03-22,19.6,26.6,NA
2017-03-23,19.4,23.7,NA
2017-03-24,14.2,27.8,0
2017-03-25,17.6,24.4,0
2017-03-26,15.6,30.3,0.2
2017-03-27,17.5,34.7,0
2017-03-28,12.3,26,3.2
2017-03-29,10.5,28,0.2
2017-03-30,11.7,21.3,0
2017-03-31,6.5,21.4,0
2017-04-01,6,22.1,0
2017-04-02,7.6,22.8,0
2017-04-03,12.1,23.9,0
2017-04-04,8.6,23.9,0
2017-04-05,9.1,24.2,0
2017-04-06,9.3,24.8,0
2017-04-07,8.7,25.4,0
2017-04-08,9.1,24.2,0
2017-04-09,14.1,19.9,1.8
2017-04-10,7.8,17.4,10.8
2017-04-11,5.9,21.3,0.2
2017-04-12,8.1,23.9,0
2017-04-13,8.4,24.1,0
2017-04-14,7.8,24.2,0
2017-04-15,5.7,21.2,0
2017-04-16,6.4,21.4,0
2017-04-17,8.6,24.8,0
2017-04-18,11,26.9,0
2017-04-19,9.6,24.6,0
2017-04-20,9.7,26.3,0
2017-04-21,14.5,17.6,1
2017-04-22,14.8,19.7,17.2
2017-04-23,11.2,23.8,0.6
2017-04-24,11,23.3,0
2017-04-25,15.4,20.4,9.6
2017-04-26,10,15.7,31.2
2017-04-27,2.4,16.7,0.2
2017-04-28,3.5,17.3,0
2017-04-29,6.3,19.8,0
2017-04-30,6.8,19.9,0
2017-05-01,7.1,19.1,0
2017-05-02,9.7,16.4,0
2017-05-03,2.4,17.9,0
2017-05-04,3.5,18.8,0
2017-05-05,4.5,18.7,0
2017-05-06,6.9,21.1,0
2017-05-07,4.1,16.1,0
2017-05-08,1.7,16.8,0
2017-05-09,2.7,18.1,0
2017-05-10,3.1,19.8,0
2017-05-11,3.9,19.9,0
2017-05-12,4.2,16.4,0
2017-05-13,4.6,19.4,0
2017-05-14,7.7,18.2,0
2017-05-15,4.7,19.6,0
2017-05-16,4,18.8,0
2017-05-17,4.4,17.6,0
2017-05-18,6.7,22.6,0
2017-05-19,9.8,15.3,0
2017-05-20,11.2,19.2,18.6
2017-05-21,6.8,18.4,0.2
2017-05-22,5.9,17.4,0.2
2017-05-23,4.4,19.6,0
2017-05-24,9.9,15.8,6.2
2017-05-25,4.2,14,0.2
2017-05-26,8.7,15.6,0
2017-05-27,6.1,17.6,0
2017-05-28,9,14.3,7
2017-05-29,2.8,12.4,7.4
2017-05-30,6,9.4,0.4
2017-05-31,-0.4,13.3,5.2
2017-06-01,-1.1,14.5,0
2017-06-02,-0.8,14.1,0.2
2017-06-03,-0.5,15.3,0
2017-06-04,-0.9,14.5,0
2017-06-05,1.2,12.5,0.2
2017-06-06,3.6,14.5,4.2
2017-06-07,-0.6,15.8,0
2017-06-08,0.7,15.6,0
2017-06-09,1.1,15.2,0
2017-06-10,1.9,16.7,0
2017-06-11,1.4,16.6,0
2017-06-12,1.9,15.1,0.2
2017-06-13,3.3,15.9,0.2
2017-06-14,1.6,15.3,0.2
2017-06-15,2.1,14.7,0
2017-06-16,3.2,12.9,0.2
2017-06-17,3.6,15.5,0
2017-06-18,1,17,0
2017-06-19,-0.2,14.7,0
2017-06-20,1.2,14.9,0.2
2017-06-21,1.2,15.2,0.4
2017-06-22,0.8,13.4,0
2017-06-23,1.1,11.9,0
2017-06-24,1.1,14.1,0.2
2017-06-25,3.9,10.9,0
