Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
TON11419-USD,Toncoin USD,2.2401,-0.0066,-0.30%,2.736B,31.66M,31.66M,31.66M,1.221B
OKB-USD,OKB USD,41.13,-0.18,-0.43%,2.468B,6.465M,6.465M,6.465M,60M
BCH-USD,Bitcoin Cash USD,124.34,-0.28,-0.22%,2.407B,78.392M,78.392M,78.392M,19.36M
FIL-USD,Filecoin USD,5.6659,-0.1585,-2.72%,2.343B,159.354M,159.354M,159.354M,413.576M
TUSD-USD,TrueUSD USD,1.0004,0.0003,0.03%,2.091B,591.13M,591.13M,591.13M,2.09B
LDO-USD,Lido DAO USD,2.3157,-0.1256,-5.14%,2.008B,59.49M,59.49M,59.49M,867.236M
APT21794-USD,Aptos USD,11.04,-0.18,-1.63%,1.992B,140.711M,140.711M,140.711M,180.463M
HBAR-USD,Hedera USD,0.063582,-0.001798,-2.75%,1.948B,22.715M,22.715M,22.715M,30.633B
VET-USD,VeChain USD,0.023844,-0.000451,-1.86%,1.729B,44.461M,44.461M,44.461M,72.511B
CRO-USD,Cronos USD,0.067652,-0.001208,-1.75%,1.709B,11.008M,11.008M,11.008M,25.263B
NEAR-USD,NEAR Protocol USD,1.9522,-0.0449,-2.25%,1.691B,48.998M,48.998M,48.998M,866.021M
ALGO-USD,Algorand USD,0.214897,-0.005081,-2.31%,1.546B,34.161M,34.161M,34.161M,7.196B
APE18876-USD,ApeCoin USD,4.1808,-0.0292,-0.69%,1.541B,52.474M,52.474M,52.474M,368.594M
BTCB-USD,Bitcoin BEP2 USD,"27,910.26",-124.21,-0.44%,1.481B,5.592M,5.592M,5.592M,"53,063"
ARB11841-USD,Arbitrum USD,1.1554,-0.0306,-2.58%,1.473B,252.543M,252.543M,252.543M,1.275B
ICP-USD,Internet Computer USD,4.8984,-0.0643,-1.30%,1.462B,19.449M,19.449M,19.449M,298.546M
QNT-USD,Quant USD,119.20,-1.19,-0.99%,1.439B,12.717M,12.717M,12.717M,12.073M
EOS-USD,EOS USD,1.1815,-0.0417,-3.41%,1.285B,93.67M,93.67M,93.67M,1.088B
GRT6719-USD,The Graph USD,0.139935,-0.003513,-2.45%,1.246B,29.042M,29.042M,29.042M,8.901B
FTM-USD,Fantom USD,0.444979,-0.019525,-4.20%,1.239B,101.954M,101.954M,101.954M,2.785B
STX4847-USD,Stacks USD,0.832823,0.020446,0.0252,1.143B,59.393M,59.393M,59.393M,1.373B
MANA-USD,Decentraland USD,0.591576,-0.013096,-2.17%,1.097B,64.43M,64.43M,64.43M,1.855B
HBTC-USD,Huobi BTC USD,"28,010.82",70.32,0.25%,1.092B,"7,499","7,499","7,499","38,969"
WBNB-USD,Wrapped BNB USD,310.77,-1.67,-0.53%,1.082B,83.243M,83.243M,83.243M,3.483M
BIT11221-USD,BitDAO USD,0.514903,-0.001305,-0.25%,1.077B,2.915M,2.915M,2.915M,2.091B
AAVE-USD,Aave USD,75.46,-2.05,-2.64%,1.063B,41.845M,41.845M,41.845M,14.093M
THETA-USD,Theta Network USD,1.0471,-0.0094,-0.89%,1.047B,14.62M,14.62M,14.62M,1B
FRAX-USD,Frax USD,0.998742,-0.003187,-0.32%,1.044B,6.276M,6.276M,6.276M,1.045B
CFX-USD,Conflux USD,0.3687,-0.008481,-2.25%,1.026B,147.387M,147.387M,147.387M,2.782B
XTZ-USD,Tezos USD,1.0853,-0.0186,-1.68%,1.013B,16.141M,16.141M,16.141M,933.542M
EGLD-USD,MultiversX USD,40.12,-0.54,-1.32%,1.013B,13.831M,13.831M,13.831M,25.248M
FLOW-USD,Flow USD,0.970041,-0.026023,-2.61%,1.005B,16.862M,16.862M,16.862M,1.036B
AXS-USD,Axie Infinity USD,8.4084,-0.2053,-2.38%,974.946M,39.093M,39.093M,39.093M,115.949M
SAND-USD,The Sandbox USD,0.62585,-0.016991,-2.64%,938.444M,66.061M,66.061M,66.061M,1.499B
CHZ-USD,Chiliz USD,0.129974,-0.008867,-6.39%,882.35M,193.033M,193.033M,193.033M,6.789B
IMX10603-USD,Immutable USD,1.0157,-0.0123,-1.20%,882.23M,15.755M,15.755M,15.755M,868.583M
USDP-USD,Pax Dollar USD,0.994792,-0.004231,-0.42%,873.511M,10.006M,10.006M,10.006M,878.084M
RPL-USD,Rocket Pool USD,44.33,-1.27,-2.80%,853.631M,6.91M,6.91M,6.91M,19.257M
NEO-USD,Neo USD,12.07,-0.32,-2.62%,851.314M,35.311M,35.311M,35.311M,70.539M
KCS-USD,KuCoin Token USD,8.3736,-0.0396,-0.47%,823.795M,"993,066","993,066","993,066",98.38M
CRV-USD,Curve DAO Token USD,1.0022,-0.0139,-1.36%,776.891M,56.203M,56.203M,56.203M,775.168M
BTTOLD-USD,BitTorrent USD,0.000754,-3.5e-05,-4.47%,746.073M,"185,806","185,806","185,806",990B
LUNC-USD,Terra Classic USD,0.000124,1e-06,0.60%,733.28M,92.302M,92.302M,92.302M,5.898T
KLAY-USD,Klaytn USD,0.234287,-0.004049,-1.70%,722.571M,25.33M,25.33M,25.33M,3.084B
USDD-USD,USDD USD,0.992712,0.00051,0.05%,720.046M,17.793M,17.793M,17.793M,725.332M
OP-USD,Optimism USD,2.2293,-0.0313,-1.39%,701.884M,51.828M,51.828M,51.828M,314.844M
BSV-USD,Bitcoin SV USD,35.42,-0.39,-1.08%,682.329M,30.331M,30.331M,30.331M,19.266M
CAKE-USD,PancakeSwap USD,3.6359,-0.0293,-0.80%,680.714M,39.513M,39.513M,39.513M,187.221M
MKR-USD,Maker USD,692.7,5.83,0.0085,677.206M,38.423M,38.423M,38.423M,"977,631"
SNX-USD,Synthetix USD,2.5707,-0.0965,-3.62%,663.233M,29.108M,29.108M,29.108M,257.997M
GMX11857-USD,GMX USD,76.09,-2.93,-3.71%,655.69M,20.917M,20.917M,20.917M,8.618M
TNC5524-USD,TNC Coin USD,0.110932,0.002713,0.0251,649.084M,"98,809","98,809","98,809",5.851B
MINA-USD,Mina USD,0.720071,-0.014762,-2.01%,634.638M,14.345M,14.345M,14.345M,881.355M
ZEC-USD,Zcash USD,38,-0.48,-1.25%,620.449M,25.708M,25.708M,25.708M,16.328M
FXS-USD,Frax Share USD,8.6803,-0.8132,-8.57%,618.582M,29.662M,29.662M,29.662M,71.263M
DASH-USD,Dash USD,54.89,-1.11,-1.98%,616.08M,73.752M,73.752M,73.752M,11.224M
MIOTA-USD,IOTA USD,0.219902,-0.009781,-4.26%,611.225M,9.952M,9.952M,9.952M,2.78B
GUSD-USD,Gemini Dollar USD,1.0041,-0.0003,-0.03%,609.536M,"406,695","406,695","406,695",607.05M
XEC-USD,eCash USD,0.000031,-1e-06,-2.39%,602.596M,6.481M,6.481M,6.481M,19.356T
BGB-USD,Bitget Token USD,0.427059,0.00922,2.21%,597.882M,9.407M,9.407M,9.407M,1.4B
BTT-USD,BitTorrent(New) USD,0.00000062,-1e-08,-1.03%,588.212M,11.182M,11.182M,11.182M,951.422T
HT-USD,Huobi Token USD,3.579,-0.0112,-0.31%,580.629M,10.888M,10.888M,10.888M,162.234M
XDC-USD,XDC Network USD,0.041302,0.000792,1.96%,571.103M,4.415M,4.415M,4.415M,13.828B
GT-USD,GateToken USD,5.2619,-0.0742,-1.39%,569.682M,"416,133","416,133","416,133",108.265M
PAXG-USD,PAX Gold USD,"2,021.11",1.24,0.06%,548.253M,6.731M,6.731M,6.731M,"271,263"
KAS-USD,Kaspa USD,0.03,0.000781,2.62%,545.522M,21.614M,21.614M,21.614M,17.82B
XRD-USD,Radix USD,0.053047,0.001193,2.30%,538.096M,6.382M,6.382M,6.382M,10.144B
TWT-USD,Trust Wallet Token USD,1.23,0.0009,0.07%,514.079M,33.729M,33.729M,33.729M,416.65M
RUNE-USD,THORChain USD,1.5528,-0.006,-0.38%,507.843M,25.652M,25.652M,25.652M,327.057M
XAUT-USD,Tether Gold USD,"2,013.43",3.31,0.16%,496.358M,6.553M,6.553M,6.553M,"246,524"
INJ-USD,Injective USD,5.7291,0.2284,4.15%,458.361M,39.934M,39.934M,39.934M,80.006M
LRC-USD,Loopring USD,0.344267,-0.008733,-2.47%,457.922M,22.502M,22.502M,22.502M,1.33B
ZIL-USD,Zilliqa USD,0.028688,-0.00068,-2.32%,455.218M,22.73M,22.73M,22.73M,15.868B
RNDR-USD,Render Token USD,1.2575,-0.0235,-1.84%,454.513M,18.991M,18.991M,18.991M,361.445M
CSPR-USD,Casper USD,0.04166,-0.000919,-2.16%,454.375M,7.901M,7.901M,7.901M,10.907B
AGIX-USD,SingularityNET USD,0.371471,-0.02158,-5.49%,448.04M,59.555M,59.555M,59.555M,1.206B
1INCH-USD,1inch Network USD,0.526935,-0.00567,-1.06%,436.731M,16.138M,16.138M,16.138M,828.813M
ENJ-USD,Enjin Coin USD,0.435573,-0.022216,-4.85%,435.573M,57.561M,57.561M,57.561M,1B
FLR-USD,Flare USD,0.034369,-0.000163,-0.47%,429.584M,3.754M,3.754M,3.754M,12.499B
FEI-USD,Fei USD USD,0.978251,0.009507,0.0098,415.753M,1.174M,1.174M,1.174M,424.996M
FTT-USD,FTX Token USD,1.2484,-0.0057,-0.46%,410.596M,6.399M,6.399M,6.399M,328.895M
MASK8536-USD,Mask Network USD,5.5039,0.0957,0.0177,408.18M,140.68M,140.68M,140.68M,74.162M
KAVA-USD,Kava USD,0.855798,-0.007783,-0.90%,404.823M,8.409M,8.409M,8.409M,473.036M
BAT-USD,Basic Attention Token USD,0.271617,-0.015521,-5.41%,404.182M,31.466M,31.466M,31.466M,1.488B
CVX-USD,Convex Finance USD,5.2349,0.0152,0.0029,398.771M,5.62M,5.62M,5.62M,76.176M
DYDX-USD,dYdX USD,2.4328,-0.0143,-0.58%,380.137M,46.831M,46.831M,46.831M,156.256M
OSMO-USD,Osmosis USD,0.763983,-0.01096,-1.41%,376.331M,5.185M,5.185M,5.185M,492.591M
NXM-USD,NXM USD,57.03,0.0,0.00%,376.086M,"95,144","95,144","95,144",6.594M
NEXO-USD,Nexo USD,0.668813,0.010356,0.0157,374.535M,3.331M,3.331M,3.331M,560M
ETHW-USD,EthereumPoW USD,3.4067,0.0011,0.0003,367.302M,6.34M,6.34M,6.34M,107.819M
XEM-USD,NEM USD,0.039684,-0.002388,-5.68%,357.155M,12.543M,12.543M,12.543M,9B
SSV-USD,ssv.network USD,34.61,-2.17,-5.90%,346.054M,21.526M,21.526M,21.526M,10M
WOO-USD,WOO Network USD,0.204145,-0.005062,-2.42%,343.495M,16.974M,16.974M,16.974M,1.683B
SXP-USD,Solar USD,0.611873,-0.053356,-8.02%,343.016M,130.429M,130.429M,130.429M,560.6M
CELO-USD,Celo USD,0.688877,0.01343,0.0199,340.978M,40.752M,40.752M,40.752M,494.976M
DFI-USD,DeFiChain USD,0.490874,-0.007938,-1.59%,336.497M,5.341M,5.341M,5.341M,685.507M
BAL-USD,Balancer USD,6.8559,-0.1315,-1.88%,334.556M,5.704M,5.704M,5.704M,48.798M
HOT2682-USD,Holo USD,0.001925,-1.9e-05,-0.96%,333.709M,22.927M,22.927M,22.927M,173.343B
ANKR-USD,Ankr USD,0.034425,-0.000842,-2.39%,332.645M,35.28M,35.28M,35.28M,9.663B
ROSE-USD,Oasis Network USD,0.058053,-0.00096,-1.63%,332.398M,12.99M,12.99M,12.99M,5.726B
TFUEL-USD,Theta Fuel USD,0.053991,-0.002651,-4.68%,329.045M,7.646M,7.646M,7.646M,6.094B
LUNA20314-USD,Terra USD,1.3236,0.0614,0.0486,322.453M,285.202M,285.202M,285.202M,243.616M
QTUM-USD,Qtum USD,3.0777,-0.0959,-3.02%,321.959M,36.358M,36.358M,36.358M,104.609M
RVN-USD,Ravencoin USD,0.025443,-0.000168,-0.66%,315.613M,7.419M,7.419M,7.419M,12.405B
DCR-USD,Decred USD,20.91,-0.11,-0.53%,310.845M,2.56M,2.56M,2.56M,14.864M
COMP5692-USD,Compound USD,42.15,-0.17,-0.40%,306.3M,18.246M,18.246M,18.246M,7.267M
T-USD,Threshold USD,0.0355,-0.000399,-1.11%,305.688M,12.347M,12.347M,12.347M,8.611B
USDJ-USD,USDJ USD,1.1173,-0.0026,-0.23%,305.186M,"499,359","499,359","499,359",273.145M
FLOKI-USD,FLOKI USD,0.000034,0.0,-1.33%,303.084M,10.589M,10.589M,10.589M,8.917T
ICX-USD,ICON USD,0.318045,-0.01737,-5.18%,303.362M,66.713M,66.713M,66.713M,953.833M
AUDIO-USD,Audius USD,0.297941,-0.000858,-0.29%,297.141M,21.007M,21.007M,21.007M,997.315M
WEMIX-USD,WEMIX USD,1.1893,-0.079,-6.23%,293.463M,6.813M,6.813M,6.813M,246.743M
GNO-USD,Gnosis USD,110.18,-2.13,-1.90%,285.312M,2.403M,2.403M,2.403M,2.59M
BABYDOGE-USD,Baby Doge Coin USD,0,0.0,-3.28%,284.253M,6.447M,6.447M,6.447M,"115,113.336T"
YFI-USD,yearn.finance USD,"8,581.72",-15.3,-0.18%,281.377M,19.441M,19.441M,19.441M,"32,788"
LN-USD,LINK USD,41.35,-0.19,-0.46%,278.502M,1.116M,1.116M,1.116M,6.734M
AR-USD,Arweave USD,8.3083,-0.2325,-2.72%,277.454M,8.479M,8.479M,8.479M,33.395M
GALA-USD,Gala USD,0.039427,-0.000616,-1.54%,275.087M,62.462M,62.462M,62.462M,6.977B
LUSD-USD,Liquity USD USD,1.0114,0.0015,0.0015,274.56M,4.807M,4.807M,4.807M,271.469M
MAGIC14783-USD,MAGIC USD,1.2825,-0.0194,-1.49%,273.92M,29.766M,29.766M,29.766M,213.587M
BTG-USD,Bitcoin Gold USD,15.65,-0.12,-0.73%,274.153M,2.227M,2.227M,2.227M,17.514M
JASMY-USD,JasmyCoin USD,0.005745,0.000365,0.0679,273.307M,130.866M,130.866M,130.866M,47.57B
ONE3945-USD,Harmony USD,0.02066,-0.000348,-1.66%,272.816M,18.141M,18.141M,18.141M,13.205B
KSM-USD,Kusama USD,32.1,-0.43,-1.31%,271.926M,8.298M,8.298M,8.298M,8.47M
FET-USD,Fetch.ai USD,0.331442,-0.012116,-3.53%,271.422M,30.278M,30.278M,30.278M,818.912M
ASTR-USD,Astar USD,0.061978,-0.000778,-1.24%,271.116M,6.454M,6.454M,6.454M,4.374B
MOB-USD,MobileCoin USD,1.3713,-0.0266,-1.90%,267.79M,1.749M,1.749M,1.749M,195.286M
XCH-USD,Chia USD,37.94,0.04,0.001,265.498M,4.812M,4.812M,4.812M,6.997M
IOTX-USD,IoTeX USD,0.027497,-0.000778,-2.75%,259.799M,8.385M,8.385M,8.385M,9.448B
ENS-USD,Ethereum Name Service USD,12.79,-0.21,-1.65%,258.835M,15.688M,15.688M,15.688M,20.245M
BONE11865-USD,Bone ShibaSwap USD,1.0704,0.0037,0.0034,246.12M,2.72M,2.72M,2.72M,229.923M
MV-USD,GensoKishi Metaverse USD,0.142667,0.003639,0.0262,243.863M,1.646M,1.646M,1.646M,1.709B
GLM-USD,Golem USD,0.243589,-0.008465,-3.36%,243.589M,4.607M,4.607M,4.607M,1B
SUSHI-USD,SushiSwap USD,1.0846,-0.0326,-2.92%,241.064M,40.733M,40.733M,40.733M,222.257M
ZRX-USD,0x USD,0.28389,0.005198,0.0187,240.596M,48.365M,48.365M,48.365M,847.496M
JST-USD,JUST USD,0.026952,-0.000843,-3.03%,239.932M,20.563M,20.563M,20.563M,8.902B
WAVES-USD,Waves USD,2.122,0.0185,0.0088,235.791M,51.325M,51.325M,51.325M,111.117M
BLUR-USD,Blur USD,0.540851,-0.017704,-3.17%,234.336M,32.385M,32.385M,32.385M,433.273M
ONT-USD,Ontology USD,0.263008,-0.011636,-4.24%,230.197M,35.294M,35.294M,35.294M,875.25M
ASTRAFER-USD,Astrafer USD,1.4566,-0.0179,-1.21%,227.842M,"47,895","47,895","47,895",156.417M
SC-USD,Siacoin USD,0.004215,-0.00016,-3.65%,226.794M,6.32M,6.32M,6.32M,53.802B
BAND-USD,Band Protocol USD,1.8176,-0.0348,-1.88%,226.223M,7.826M,7.826M,7.826M,124.462M
BICO-USD,Biconomy USD,0.427568,-0.000822,-0.19%,224.335M,25.93M,25.93M,25.93M,524.677M
GLMR-USD,Moonbeam USD,0.366769,-0.007054,-1.89%,223.849M,5.272M,5.272M,5.272M,610.327M
BDX-USD,Beldex USD,0.055311,-0.000517,-0.93%,222.31M,1.817M,1.817M,1.817M,4.019B
RON14101-USD,Ronin USD,1.0962,0.0242,0.0226,221.836M,5.091M,5.091M,5.091M,202.363M
GMT18069-USD,STEPN USD,0.366222,-0.012374,-3.27%,219.733M,31.126M,31.126M,31.126M,600M
KDA-USD,Kadena USD,0.96434,-0.011165,-1.14%,219.02M,4.256M,4.256M,4.256M,227.119M
OCEAN-USD,Ocean Protocol USD,0.347437,-0.019693,-5.36%,213.013M,22.513M,22.513M,22.513M,613.099M
EDGT-USD,Edgecoin USD,1.0011,0.0003,0.0003,210.23M,22.274M,22.274M,22.274M,210M
USTC-USD,TerraClassicUSD USD,0.021435,-1.8e-05,-0.08%,210.046M,12.594M,12.594M,12.594M,9.799B
HNT-USD,Helium USD,1.4355,0.0276,0.0196,205.608M,3.308M,3.308M,3.308M,143.23M
GNS-USD,Gains Network USD,6.7463,-0.2312,-3.31%,205.448M,10.108M,10.108M,10.108M,30.454M
ACH-USD,Alchemy Pay USD,0.040409,0.001104,0.0281,205.365M,144.454M,144.454M,144.454M,5.082B
OMG-USD,OMEGA FINANCE USD,1.4433,-0.0283,-1.92%,202.415M,23.683M,23.683M,23.683M,140.245M
IOST-USD,IOST USD,0.010804,-0.000318,-2.86%,202.139M,10.251M,10.251M,10.251M,18.709B
LQTY-USD,Liquity USD,2.1829,-0.1092,-4.76%,200.053M,26.945M,26.945M,26.945M,91.646M
DAO-USD,DAO Maker USD,1.3892,-0.0633,-4.36%,199.959M,2.286M,2.286M,2.286M,143.943M
MX-USD,MX TOKEN USD,1.9719,-0.0005,-0.03%,197.188M,1.11M,1.11M,1.11M,100M
HIVE-USD,Hive USD,0.411329,-0.004997,-1.20%,194.284M,3.376M,3.376M,3.376M,472.333M
JOE-USD,JOE USD,0.57284,0.00703,0.0124,192.725M,22.205M,22.205M,22.205M,336.437M
LPT-USD,Livepeer USD,6.9608,-0.0604,-0.86%,192.243M,7.373M,7.373M,7.373M,27.618M
RSR-USD,Reserve Rights USD,0.004168,-0.000123,-2.88%,190.124M,9.309M,9.309M,9.309M,45.612B
SURE-USD,inSure DeFi USD,0.007035,6e-05,0.0086,188.466M,3.243M,3.243M,3.243M,26.79B
XYM-USD,Symbol USD,0.033603,-0.000191,-0.56%,187.587M,"432,012","432,012","432,012",5.582B
BORA-USD,BORA USD,0.187516,-0.003517,-1.84%,186.344M,6.284M,6.284M,6.284M,993.75M
ELF-USD,aelf USD,0.308049,-0.003631,-1.16%,185.34M,6.064M,6.064M,6.064M,601.658M
CHSB-USD,SwissBorg USD,0.184285,0.0016,0.0088,184.285M,"173,841","173,841","173,841",1B
SKL-USD,SKALE USD,0.040716,-0.000118,-0.29%,182.557M,12.782M,12.782M,12.782M,4.484B
BRISE-USD,Bitgert USD,0.00000046,-1e-08,-2.36%,180.943M,5.282M,5.282M,5.282M,395.688T
FLUX-USD,Flux USD,0.608948,-0.010318,-1.67%,179.362M,6.89M,6.89M,6.89M,294.543M
SFP-USD,SafePal USD,0.482902,0.005497,0.0115,178.513M,5.676M,5.676M,5.676M,369.667M
ELON-USD,Dogelon Mars USD,0.00000032,-1e-08,-2.48%,176.336M,2.232M,2.232M,2.232M,549.653T
WAXP-USD,WAX USD,0.071539,-0.003915,-5.19%,174.504M,7.235M,7.235M,7.235M,2.439B
CKB-USD,Nervos Network USD,0.004127,-0.000204,-4.70%,166.34M,5.683M,5.683M,5.683M,40.304B
BNX23635-USD,BinaryX USD,0.568505,0.001953,0.0034,164.366M,7.428M,7.428M,7.428M,289.119M
POLY-USD,POLY Maximus USD,0.174885,0.000211,0.0012,161.769M,"470,851","470,851","470,851",924.998M
FLEX-USD,FLEX USD,1.6318,-0.0197,-1.19%,161.005M,"804,878","804,878","804,878",98.665M
STORJ-USD,Storj USD,0.387799,-0.0223,-5.44%,160.137M,18.655M,18.655M,18.655M,412.937M
LYXE-USD,LUKSO USD,10.09,0.38,0.039,156.177M,1.048M,1.048M,1.048M,15.476M
AMP-USD,Amp USD,0.003691,-0.000135,-3.54%,155.846M,11.333M,11.333M,11.333M,42.228B
TEL-USD,Telcoin USD,0.002314,-2.3e-05,-1.00%,154.575M,"839,623","839,623","839,623",66.789B
DGB-USD,DigiByte USD,0.009415,-5.7e-05,-0.60%,152.008M,2.75M,2.75M,2.75M,16.145B
MBX18895-USD,MARBLEX USD,2.9075,-0.0691,-2.32%,149.763M,1.743M,1.743M,1.743M,51.51M
ILV-USD,Illuvium USD,57.78,-1.41,-2.38%,146.271M,10.355M,10.355M,10.355M,2.532M
KEEP-USD,Keep Network USD,0.169454,-0.002726,-1.58%,145.86M,"560,017","560,017","560,017",860.762M
VBG-USD,Vibing USD,0.99796,-0.304022,-23.35%,142.659M,"302,417","302,417","302,417",142.951M
LSK-USD,Lisk USD,1.1057,-0.0186,-1.66%,142.526M,13.965M,13.965M,13.965M,128.9M
UMA-USD,UMA USD,2.0657,0.0013,0.0006,142.426M,16.099M,16.099M,16.099M,68.947M
CELR-USD,Celer Network USD,0.020078,-0.000779,-3.74%,142.261M,5.885M,5.885M,5.885M,7.085B
ZEN-USD,Horizen USD,10.35,-0.12,-1.18%,140.286M,6.493M,6.493M,6.493M,13.56M
EURS-USD,STASIS EURO USD,1.0824,-0.0014,-0.13%,134.353M,"163,808","163,808","163,808",124.126M
RLC-USD,iExec RLC USD,1.652,-0.0279,-1.66%,133.814M,5.27M,5.27M,5.27M,81M
MULTI17050-USD,Multichain USD,9.1603,-0.0986,-1.06%,133.201M,3.168M,3.168M,3.168M,14.541M
AXL17799-USD,Axelar USD,0.59108,-0.002793,-0.47%,129.833M,1.337M,1.337M,1.337M,219.655M
TRAC-USD,OriginTrail USD,0.349866,0.003858,0.0112,127.87M,"874,561","874,561","874,561",365.482M
TRIBE-USD,Tribe USD,0.281814,0.00232,0.0083,127.788M,"447,338","447,338","447,338",453.449M
SLP-USD,Smooth Love Potion USD,0.003024,0.000253,0.0912,127.766M,135.392M,135.392M,135.392M,42.249B
KNC-USD,Kyber Network Crystal v2 USD,0.766844,-0.0435,-5.37%,126.448M,34.194M,34.194M,34.194M,164.894M
MED-USD,MediBloc USD,0.01828,-0.000512,-2.73%,126.292M,2.64M,2.64M,2.64M,6.909B
PUNDIX-USD,Pundi X (New) USD,0.484783,-0.019197,-3.81%,125.312M,7.314M,7.314M,7.314M,258.492M
ID21846-USD,SPACE ID USD,0.434414,-0.015191,-3.38%,124.242M,57.676M,57.676M,57.676M,286M
SYS-USD,Syscoin USD,0.164566,0.004222,0.0263,124.012M,1.954M,1.954M,1.954M,753.572M
API3-USD,API3 USD,1.5452,0.0081,0.0053,123.906M,4.587M,4.587M,4.587M,80.188M
MLK-USD,MiL.k USD,0.451087,-0.043584,-8.81%,123.739M,227.94M,227.94M,227.94M,274.313M
ANT-USD,Aragon USD,3.0825,-0.0959,-3.02%,123.39M,20.726M,20.726M,20.726M,40.03M
PEOPLE-USD,ConstitutionDAO USD,0.024327,-0.00149,-5.77%,123.099M,36.645M,36.645M,36.645M,5.06B
STG18934-USD,Stargate Finance USD,0.745142,-0.04324,-5.48%,123.088M,18.389M,18.389M,18.389M,165.188M
PLA7461-USD,PlayDapp USD,0.226797,-0.00619,-2.66%,121.984M,8.575M,8.575M,8.575M,537.856M
METIS-USD,MetisDAO USD,27.39,-0.92,-3.25%,121.891M,3.324M,3.324M,3.324M,4.45M
BTRST-USD,Braintrust USD,0.874558,-0.022348,-2.49%,121.716M,"459,743","459,743","459,743",139.174M
ABBC-USD,ABBC Coin USD,0.091603,0.001361,0.0151,119.123M,24.343M,24.343M,24.343M,1.3B
XNO-USD,Nano USD,0.889172,-0.01979,-2.18%,118.481M,1.02M,1.02M,1.02M,133.248M
CORE23254-USD,Core USD,1.5065,-0.046,-2.96%,118.089M,10.325M,10.325M,10.325M,78.388M
VVS-USD,VVS Finance USD,0.00000344,-3e-08,-0.88%,117.357M,"516,676","516,676","516,676",34.135T
